codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,ignicao
901008,,22,-23.000951,-43.364488,2025-02-20 12:38:21,14.6,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],150595.1,260,1
901011,RIV8A74,22,-23.00085,-43.367003,2025-02-20 12:34:21,18.6,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],161071.3,145,1
901018,,52,-23.001432,-43.367747,2025-02-20 12:43:11,0.0,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],131885.2,92,1
901012,,52,-22.964523,-43.392118,2025-02-20 11:25:09,0.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],134748.7,348,0
901014,,18,-23.003911,-43.322736,2025-02-20 12:42:58,4.0,,ida,18 - PONTAL X JARDIM OCEÂNICO (EXPRESSO) [IDA],160318.0,117,1
901007,,22,-23.001217,-43.329327,2025-02-20 12:42:59,30.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],153572.9,109,1
901009,,22,-22.999954,-43.353662,2025-02-20 12:43:11,0.0,,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],116711.9,272,1
901013,,22,-23.006602,-43.312293,2025-02-20 12:43:05,0.0,,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],153716.4,257,1
901010,RJM8G30,22,-23.000227,-43.347883,2025-02-20 12:43:05,14.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],167862.5,88,1
901015,,35,-22.878354,-43.33634,2025-02-20 12:43:16,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],164990.4, ,1
901047,,35,-22.898162,-43.35271,2025-02-20 12:43:14,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],38404.2,214,1
901017,,22,-22.964535,-43.392048,2025-02-20 12:36:22,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],135791.4,352,0
901063,,51,-22.874547,-43.406617,2025-02-20 12:43:14,57.2,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],226324.2,142,1
902319,,60,-22.820544,-43.323947,2025-02-20 12:11:17,0.0,,volta,60 - TIG  X  TERMINAL DEODORO (PARADOR) [VOLTA],15943.4,299,0
901006,RJA9F56,22,-23.006356,-43.312859,2025-02-20 12:42:58,0.0,,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],155960.2,287,1
901005,RJB8E53,51,-23.008346,-43.44049,2025-02-20 12:36:46,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],196262.5,256,0
901004,RJQ8J80,53,-23.001023,-43.365825,2025-02-20 12:41:34,0.0,,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],175400.3,269,1
902095,,40,-22.876877,-43.329779,2025-02-20 12:03:19,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],93648.7, ,0
902375,,51,-23.008349,-43.439915,2025-02-20 12:42:56,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],2872.6,326,1
13409,KPY9733,10,-22.915786,-43.628365,2023-04-27 00:10:13,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),22420.5, ,
KXM6403 SAVEIRO,KXM6403,0,-23.000847,-43.363485,2025-02-20 12:01:07,0.0,,,,19507.0, ,0
902090,,40,-23.001453,-43.367759,2025-02-20 12:41:25,12.5,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],92497.1,88,1
KRA7040 - GOL,KRA7040,0,-22.957199,-43.390435,2025-02-20 11:59:36,0.0,,,,48513.3, ,0
902334,,61,-22.850146,-43.398096,2025-02-20 11:46:51,0.0,,ida,61 - TERMINAL DEODORO X TIG (EXPRESSO) [IDA],59681.3, ,1
